date,data
2004-01-01,84998.0
2004-02-01,
2004-03-01,
2004-04-01,95557.5
2004-05-01,
2004-06-01,105605.26666666666
2004-07-01,106990.6875
2004-08-01,133563.95833333334
2004-09-01,136911.35714285713
2004-10-01,151106.66666666666
2004-11-01,159299.64
2004-12-01,198765.07692307694
2005-01-01,213681.5
2005-02-01,221749.3125
2005-03-01,213806.47368421053
2005-04-01,208429.8125
2005-05-01,203834.7
2005-06-01,198043.83333333334
2005-07-01,208881.0
2005-08-01,205737.4
2005-09-01,220374.26666666666
2005-10-01,246641.72727272726
2005-11-01,209439.36363636365
2005-12-01,218848.85
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,256975.0
2006-09-01,
2006-10-01,
2006-11-01,249038.0
2006-12-01,288668.3333333333
2007-01-01,284567.75
2007-02-01,330409.3333333333
2007-03-01,325230.4
2007-04-01,351102.0
2007-05-01,328161.75
2007-06-01,348647.0
2007-07-01,348852.0
2007-08-01,376995.0
2007-09-01,406830.29411764705
2007-10-01,447525.375
2007-11-01,471691.0
2007-12-01,451181.1538461539
2008-01-01,619084.2
2008-02-01,1287360.6666666667
2008-03-01,1310829.4444444445
2008-04-01,1264873.5
2008-05-01,1194256.75
2008-06-01,1184089.0
2008-07-01,1127040.2962962964
2008-08-01,1139440.4838709678
2008-09-01,1243807.0
2008-10-01,1232293.4516129033
2008-11-01,1329897.7333333334
2008-12-01,1412707.3548387096
2009-01-01,1533559.5483870967
2009-02-01,1607461.107142857
2009-03-01,1773796.1935483871
2009-04-01,1709177.8
2009-05-01,1733282.1935483871
2009-06-01,1764016.4666666666
2009-07-01,1668914.4516129033
2009-08-01,1681086.935483871
2009-09-01,1768521.0
2009-10-01,1547327.0967741935
2009-11-01,1931735.6
2009-12-01,2213945.064516129
2010-01-01,2481477.8387096776
2010-02-01,2431410.1785714286
2010-03-01,2437450.580645161
2010-04-01,2374295.8666666667
2010-05-01,2350875.709677419
2010-06-01,2326269.033333333
2010-07-01,2236542.129032258
2010-08-01,2299764.4838709678
2010-09-01,2521148.8333333335
2010-10-01,2694412.064516129
2010-11-01,2902431.3666666667
2010-12-01,2989330.1612903224
2011-01-01,3220564.3225806453
2011-02-01,3175125.75
2011-03-01,3179342.5483870967
2011-04-01,3081017.6333333333
2011-05-01,3161683.7741935486
2011-06-01,3212711.6666666665
2011-07-01,3436723.3225806453
2011-08-01,3543238.0967741935
2011-09-01,3796826.066666667
2011-10-01,3937541.806451613
2011-11-01,4247601.366666666
2011-12-01,4428895.516129033
2012-01-01,4682978.806451613
2012-02-01,4592962.793103448
2012-03-01,4610902.870967742
2012-04-01,4625402.033333333
2012-05-01,4578163.677419355
2012-06-01,4552037.5
2012-07-01,4680612.741935484
2012-08-01,4289095.645161291
2012-09-01,4679462.633333334
2012-10-01,4937401.838709678
2012-11-01,5184392.5
2012-12-01,5547705.645161291
2013-01-01,6114009.70967742
2013-02-01,5582203.25
2013-03-01,5139867.483870967
2013-04-01,5029830.433333334
2013-05-01,4920018.064516129
2013-06-01,4910836.333333333
2013-07-01,5136887.0
2013-08-01,5278248.580645162
2013-09-01,6016419.733333333
2013-10-01,6057853.322580645
2013-11-01,6400650.666666667
2013-12-01,6792763.870967742
2014-01-01,6947549.935483871
2014-02-01,6680257.785714285
2014-03-01,6578717.580645162
2014-04-01,6390586.533333333
2014-05-01,6453147.354838709
2014-06-01,6904370.133333334
2014-07-01,6744120.096774193
2014-08-01,6533656.129032258
2014-09-01,6742709.7
2014-10-01,6989346.903225807
2014-11-01,7096469.133333334
2014-12-01,7416585.0
2015-01-01,8004586.774193549
2015-02-01,8018200.178571428
2015-03-01,8393346.967741935
2015-04-01,8543568.133333333
2015-05-01,8645723.709677419
2015-06-01,9179937.733333332
2015-07-01,8848913.774193548
2015-08-01,9055602.451612903
2015-09-01,9510646.866666667
2015-10-01,9898330.516129032
2015-11-01,10409580.366666667
2015-12-01,10659995.6
2016-01-01,11425999.35483871
2016-02-01,11464652.379310345
2016-03-01,11353008.225806452
2016-04-01,11569875.933333334
2016-05-01,11260826.35483871
2016-06-01,11415348.666666666
2016-07-01,11173017.225806452
2016-08-01,10959825.516129032
2016-09-01,11271203.4
2016-10-01,11684002.612903226
2016-11-01,12137568.733333332
2016-12-01,12535796.129032258
2017-01-01,13024870.096774194
2017-02-01,12695770.17857143
2017-03-01,12251143.310344828
2017-04-01,12424615.266666668
2017-05-01,12416278.870967742
2017-06-01,12822262.433333334
2017-07-01,12817763.677419355
2017-08-01,12970997.838709677
2017-09-01,13795173.833333334
2017-10-01,14891596.548387097
2017-11-01,15217726.566666666
2017-12-01,16246413.677419355
2018-01-01,16850251.451612905
2018-02-01,16134370.086956521
2018-03-01,16452613.096774194
2018-04-01,15802067.333333334
2018-05-01,15291915.193548387
2018-06-01,15509585.0
2018-07-01,14878393.483870968
2018-08-01,14591475.741935484
2018-09-01,14803638.233333332
2018-10-01,14544460.451612903
2018-11-01,14523036.966666667
2018-12-01,15455809.709677419
2019-01-01,15733693.096774194
2019-02-01,15407435.67857143
2019-03-01,15353189.967741935
2019-04-01,15329432.3
2019-05-01,15338828.483870968
2019-06-01,15332248.2
2019-07-01,15118306.548387097
2019-08-01,14924747.193548387
2019-09-01,14797209.2
2019-10-01,14805565.483870968
2019-11-01,14801252.833333334
2019-12-01,15805190.451612903
2020-01-01,16265411.612903226
2020-02-01,17046966.379310343
2020-03-01,19827016.93548387
2020-04-01,23592347.466666665
2020-05-01,22287736.903225806
